OBJECTID,LONGITUDE,LATITUDE,COUNTRY,NAME,NAME2,N_TURBINES,POWER_MW,STATUS,YEAR,COAST_DIST_M,NOTES,
148,-10.58,52.56,Ireland,Moneypoint Offshore Two,Moneypoint Offshore Two,,1100,Planned,,38973.07209, ,
149,-5.81,53.54,Ireland,North Irish Sea Array 2,North Irish Sea Array 2,,300,Planned,,13286.99588, ,
150,-5.76,53.54,Ireland,North Irish Sea Array 3,North Irish Sea Array 3,,250,Planned,,16386.22581, ,
151,-6.9,51.66,Ireland,Pearla Offshore Windfarm,Péarla Offshore Windfarm,,1000,Planned,,51821.38941, ,
152,-5.84,52.92,Ireland,Realt na Mara,Réalt na Mara,,1600,Planned,,11667.73528, ,
153,-11.06,52.46,Ireland,Rian Offshore Array,Rian Offshore Array,,2500,Planned,,48923.54729, ,
154,-11.33,52.29,Ireland,Rian Offshore Array,Rian Offshore Array,,0,Planned,,51419.34088, ,
155,-6.06,52.39,Ireland,Shelmalere,Shelmalere,,1000,Planned,,17654.75513, ,
156,-9.27,53.23,Ireland,SmartBay,SmartBay,,0,Planned,,1424.280186, ,
157,-10.1,52.61,Ireland,SSE Tarbert,SSE Tarbert,,0,Planned,,12236.54938, ,
158,-5.83,53.24,Ireland,Sunrise Wind (IE),Sunrise Wind (IE),,1330,Planned,,17107.54645, ,
159,-9.97,52.56,Ireland,Tralee,Tralee,,2500,Planned,,2140.106879, ,
160,-8.85,51.38,Ireland,Tulca Offshore Array,Tulca Offshore Array,,1650,Planned,,18193.85327, ,
161,-8.82,51.38,Ireland,Tulca Offshore Array,Tulca Offshore Array,,2240,Planned,,19099.28738, ,
162,-10.06,51.43,Ireland,Urban Sea,Urban Sea,,4000,Planned,,16354.16555, ,
163,-10.81,51.83,Ireland,Valentia,Valentia,,920,Planned,,19409.60345, ,
164,-10.95,51.96,Ireland,Valentia,Valentia,,620,Planned,,23496.50135, ,
165,-7.35,51.36,Ireland,Voyage Offshore Array,Voyage Offshore Array,,2900,Planned,,67873.23568, ,
166,-8.93,55.54,Ireland,West Ireland,West Ireland,,2000,Planned,,52006.76065, ,
167,-10.25,52.84,Ireland,Western Star Floating Wind,Western Star Floating Wind,,1350,Planned,,21255.37708, ,
168,-6.74,51.57,Ireland,Wexford,Wexford,,2500,Planned,,60765.5433, ,
169,-5.7,52.86,Ireland,Wicklow,Wicklow,,500,Planned,,22755.11903, ,
170,14.4,42.54,Italy,Abruzzo 1,Abruzzo 1,,1760,Planned,,15738.35665, ,
171,12.79,44.34,Italy,Agnes 1,Agnes 1,,120,Planned,,33442.38329, ,
172,12.73,44.56,Italy,Agnes 2,Agnes 2,,400,Planned,,35486.6891, ,
173,16.59,42.15,Italy,APENESTE Offshore,APENESTE Offshore,,915,Planned,,32573.84807, ,
174,9.62,43.32,Italy,Atis,Atis,,864,Planned,,24701.04492, ,
175,17.44,41.74,Italy,Bari,Bari,,600,Planned,,80280.02152, ,
176,16.39,41.68,Italy,Barium Bay,Barium Bay,,1100,Planned,,19715.01549, ,
177,16.74,41.45,Italy,Barletta Offshore,Barletta Offshore,,840,Planned,,29216.69684, ,
178,18.05,40.9,Italy,Bluwind Brindisi,Bluwind Brindisi,,840,Planned,,25755.40727, ,
179,11.23,42.01,Italy,Bluwind Civitavecchia,Bluwind Civitavecchia,,870,Planned,,27196.12495, ,
180,16.69,41.89,Italy,Bluwind Manfredonia,Bluwind Manfredonia,,825,Planned,,41562.54238, ,
181,14.82,36.41,Italy,Bluwind Pozzallo,Bluwind Pozzallo,,975,Planned,,32491.29526, ,
182,16.83,41.49,Italy,BNW,BNW,,504,Planned,,35702.26082, ,
183,17.96,40.89,Italy,Brenda Energia,Brenda Energia,,741,Planned,,22821.14139, ,
184,17.96,40.91,Italy,BRN,BRN,,504,Planned,,25025.64988, ,
185,16.87,38.45,Italy,Calabria,Calabria,37,555,Planned,,25216.5215, ,
186,11.83,37.76,Italy,Calypso,Calypso,,600,Planned,,28887.34114, ,
187,18.11,40.59,Italy,Centrale Eolica Offshore Brindisi,Centrale Eolica Offshore Brindisi,,108,Planned,,5596.065427, ,
188,11.35,42.14,Italy,Civitavecchia A,Civitavecchia A,,225,Planned,,22685.71805, ,
189,11.29,42.07,Italy,Civitavecchia B,Civitavecchia B,,375,Planned,,23916.43305, ,
190,8.3,38.75,Italy,Del Toro 1,Del Toro 1,,293,Planned,,15370.4536, ,
191,8.16,38.88,Italy,Del Toro 2,Del Toro 2,,293,Planned,,21813.08609, ,
192,17.94,39.9,Italy,Dorada,Dorada,108,1620,Planned,,9471.452536, ,
193,12.07,37.34,Italy,Elymo A,Elymo A,,858,Planned,,53301.98029, ,
194,12.35,36.92,Italy,Elymo B,Elymo B,,435,Planned,,30026.42477, ,
195,14.67,36.54,Italy,Eureka Wind,Eureka Wind,,570,Planned,,19755.03932, ,
196,14.78,36.21,Italy,Euribia,Euribia,,660,Planned,,40472.33562, ,
197,16.66,38.62,Italy,Fortevento,Fortevento,,585,Planned,,8350.591185, ,
198,16.21,41.59,Italy,Gargano Sud,Gargano Sud,85,340,Planned,,16649.75409, ,
